rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822131161794900,,64117,,1501822131,161794900,"""map""",,,1299.39639088,-1761.02046788,-5.87551453084,,0.00126733899128,0.0200020741104,0.588283615363,0.808406270868
1501822131211810111,,64500,,1501822131,211810111,"""map""",,,1299.45085438,-1760.83394854,-5.87925497661,,0.00141818861101,0.0201369844903,0.58832279979,0.808374154612
1501822131261818885,,64918,,1501822131,261818885,"""map""",,,1299.50907845,-1760.65110822,-5.88266891778,,0.00138172593778,0.0202019237188,0.58827736745,0.80840566058
1501822131311813116,,65274,,1501822131,311813116,"""map""",,,1299.56412393,-1760.46362768,-5.88575998005,,0.00149183919411,0.0202580007085,0.588335401367,0.808361826982
1501822131361824989,,65672,,1501822131,361824989,"""map""",,,1299.61932299,-1760.27542538,-5.89007563941,,0.00149314576327,0.0203249848033,0.588395441991,0.808316441347
1501822131411818027,,66033,,1501822131,411818027,"""map""",,,1299.6784187,-1760.09065675,-5.89329197425,,0.00147208484927,0.0201588876877,0.58838093759,0.808331197278
1501822131461823940,,66435,,1501822131,461823940,"""map""",,,1299.73408729,-1759.90135686,-5.89656777822,,0.00150511563719,0.0199138090716,0.588407615662,0.808317791878
1501822131501816034,,66724,,1501822131,501816034,"""map""",,,1299.78340852,-1759.75267868,-5.89904480697,,0.00153257235907,0.0196554338583,0.58832052808,0.808387451276
1501822131561861038,,67135,,1501822131,561861038,"""map""",,,1299.85090387,-1759.52380035,-5.90348817814,,0.00199146142499,0.0191012940415,0.588318235079,0.808401403339
1501822131611834049,,67528,,1501822131,611834049,"""map""",,,1299.90641951,-1759.33444789,-5.91310928809,,0.00275534339189,0.0178852018035,0.588357062613,0.808398722483
1501822131661823987,,67944,,1501822131,661823987,"""map""",,,1299.9665655,-1759.14822338,-5.92344635017,,0.00410315581496,0.0161439976731,0.588324339799,0.808453465978
1501822131711837053,,68327,,1501822131,711837053,"""map""",,,1300.02210953,-1758.95783684,-5.9342361062,,0.00556868584283,0.0143306055482,0.58824953079,0.80853330977
1501822131761836051,,68721,,1501822131,761836051,"""map""",,,1300.07827002,-1758.76574151,-5.94379164713,,0.00698998274057,0.0128009864772,0.58815129118,0.808619399699
1501822131811836957,,69112,,1501822131,811836957,"""map""",,,1300.13896996,-1758.57725977,-5.95126437424,,0.007933132419,0.0117887759265,0.587935104927,0.808783285292
1501822131851850986,,69446,,1501822131,851850986,"""map""",,,1300.1844981,-1758.42255947,-5.95686793818,,0.00842222756189,0.0112270559923,0.587887079116,0.808821241997
1501822131911839962,,69850,,1501822131,911839962,"""map""",,,1300.25829263,-1758.19395637,-5.96149475499,,0.00855209025875,0.0109055065163,0.587795856668,0.808890575148
1501822131961843967,,70271,,1501822131,961843967,"""map""",,,1300.31616859,-1757.99929888,-5.96471005616,,0.0083690543149,0.0108628643777,0.587813068546,0.808880555802
1501822132011854887,,70649,,1501822132,11854887,"""map""",,,1300.3742578,-1757.80350689,-5.96717819189,,0.00807742893779,0.0109522132231,0.58778329498,0.808903951226
1501822132061851024,,71056,,1501822132,61851024,"""map""",,,1300.43712043,-1757.61134935,-5.96962357352,,0.00778103884093,0.0110442835278,0.58758544657,0.809049332374
1501822132106872081,,71307,,1501822132,106872081,"""map""",,,1300.48957262,-1757.43399651,-5.97340668784,,0.00757126807204,0.0110652172523,0.587492227764,0.809118729967
1501822132161856889,,71653,,1501822132,161856889,"""map""",,,1300.5541664,-1757.21675621,-5.97607477939,,0.00755950321191,0.0112700402403,0.587417880177,0.809169990887
1501822132211859941,,72034,,1501822132,211859941,"""map""",,,1300.61780531,-1757.02408181,-5.97785039507,,0.00757856095132,0.0116011754438,0.587277355381,0.80926712895
1501822132261861085,,72403,,1501822132,261861085,"""map""",,,1300.67679445,-1756.82453511,-5.97810827561,,0.00742506399874,0.0121452152224,0.587166755712,0.809340820149
1501822132311894893,,72794,,1501822132,311894893,"""map""",,,1300.74107286,-1756.62846028,-5.97760733912,,0.00727252206706,0.0129042392757,0.586925055391,0.809505756858
1501822132361876010,,73210,,1501822132,361876010,"""map""",,,1300.80066649,-1756.42729597,-5.97839226849,,0.00725516415337,0.0137217366488,0.586761457768,0.809611059839
1501822132411884069,,73569,,1501822132,411884069,"""map""",,,1300.86605015,-1756.22960942,-5.97652743979,,0.00680229316038,0.0145198910801,0.586558545772,0.809748092898
1501822132461894035,,73973,,1501822132,461894035,"""map""",,,1300.92695675,-1756.02673203,-5.97474294588,,0.00621118383927,0.0151332837168,0.58652328604,0.809767151626
1501822132511900901,,74387,,1501822132,511900901,"""map""",,,1300.98841146,-1755.82326933,-5.97393969599,,0.00569593886865,0.015653629754,0.586519920086,0.809763486148
1501822132561901092,,74753,,1501822132,561901092,"""map""",,,1301.05543777,-1755.6242194,-5.97470105766,,0.00522363009883,0.0159036959998,0.58636307785,0.809875377497
1501822132661894083,,75385,,1501822132,661894083,"""map""",,,1301.18420573,-1755.21929689,-5.98230884142,,0.00480050348662,0.0156911747281,0.586094247898,0.810076709196
1501822132711915969,,75792,,1501822132,711915969,"""map""",,,1301.24610136,-1755.01368105,-5.98642727821,,0.00473644287512,0.0154745664455,0.586019584825,0.810135266547
1501822132761895895,,76179,,1501822132,761895895,"""map""",,,1301.30823269,-1754.80772336,-5.99056365725,,0.004685810991,0.0153002394638,0.585986195911,0.810163023132
1501822132816901922,,76601,,1501822132,816901922,"""map""",,,1301.38247198,-1754.585878,-5.99690241004,,0.00474151788101,0.0151716979978,0.585841368637,0.810269849113
1501822132866908073,,77025,,1501822132,866908073,"""map""",,,1301.44496156,-1754.37875731,-6.00099388899,,0.00488017710745,0.0150590053311,0.585792991992,0.810306103126
1501822132916910886,,77401,,1501822132,916910886,"""map""",,,1301.51377079,-1754.17524985,-6.00484345295,,0.0050853040727,0.0149481630745,0.585644689821,0.810414085136
1501822132966912031,,77763,,1501822132,966912031,"""map""",,,1301.5766014,-1753.96711556,-6.00824700378,,0.00519733938224,0.0148752015094,0.585632315292,0.810423659162
